"region","lwr","lwr25","fit","upr75","upr","BayesP","species","longterm"
"atl",-5.0364247545807,-2.22231835218037,-0.718939560206575,0.696334863294433,3.41627828159575,0.368,"Common Blackbird","2007-2019"
"kon",-0.84794329222957,1.67577260243223,2.88326201100705,4.04862296328443,6.49523672841686,0.936166666666667,"Common Blackbird","2007-2019"
"overall",-2.05649306626112,-0.168569953167603,0.837537760614058,1.85445642947308,3.73887229040686,0.71,"Common Blackbird","2007-2019"
"atl",-1.36249993939957,0.244681429084272,1.08819023736908,1.96033804748332,3.67334284208591,0.809666666666667,"Common Chiffchaff","2007-2019"
"kon",1.34865896772484,2.87945830317064,3.80908437652216,4.79750840500983,6.87083433487179,0.998333333333333,"Common Chiffchaff","2007-2019"
"overall",0.476849225623079,1.68900707042486,2.31839406093394,2.99006329521225,4.3802499340152,0.993,"Common Chiffchaff","2007-2019"
"atl",-0.0915449703861136,0.0224290025226323,0.0800526197851853,0.141957522851192,0.288946351073271,0.826666666666667,"Common Kestrel","2007-2019"
"kon",0.000676721972315591,0.136211428482944,0.211166566727124,0.293781125611966,0.480259410813871,0.9755,"Common Kestrel","2007-2019"
"overall",-5.92958437519925e-05,0.0890762622945953,0.139801847011999,0.19540430961595,0.316839587282618,0.974833333333333,"Common Kestrel","2007-2019"
"atl",0.0545503583940374,0.129463077846129,0.190087501743053,0.269597710395001,0.484038604467156,0.998833333333333,"Common Redstart","2007-2019"
"atl",-0.982942371295394,-0.498431590346122,-0.270108516082405,-0.0146201550440934,0.467183240472169,0.236333333333333,"White Wagtail","2007-2019"
"kon",-1.13398457006549,-0.633069381371987,-0.363345102713931,-0.102372973400793,0.412035022713102,0.175,"White Wagtail","2007-2019"
"overall",-0.854269840934527,-0.488526798254278,-0.309318884337258,-0.123360701417502,0.238899976616869,0.129166666666667,"White Wagtail","2007-2019"
