"species","model"
"Barn Swallow","Fzinb"
"Black Redstart","nonezip"
"Carrion Crow","Fzinb"
"Coal Tit","nonenb"
"Common Blackbird","nonezinb"
"Common Buzzard","Fzip"
"Common Chaffinch","nonezinb"
"Common Chiffchaff","PCAzinb"
"Common Goldcrest","Fzinb"
"Common House Martin","Fzinb"
"Common Kestrel","Fzip"
"Common Linnet","Fzip"
"Common Pheasant","nonenb"
"Common Starling","nonezinb"
"Common Swift","PCAzinb"
"Common Whitethroat","PCAzinb"
"Common Wood Pigeon","PCAzinb"
"Dunnock","PCAzinb"
"Eurasian Blackcap","nonezinb"
"Eurasian Blue Tit","Rzinb"
"Eurasian Bullfinch","PCAzinb"
"Eurasian Collared Dove","Fzinb"
"Eurasian Jay","Fzinb"
"Eurasian Magpie","Fzinb"
"Eurasian Nuthatch","Rzinb"
"Eurasian Skylark","nonezinb"
"Eurasian Tree Sparrow","nonezinb"
"Eurasian Woodcock","nonenb"
"Eurasian Wren","Fzinb"
"European Crested Tit","Fzinb"
"European Goldfinch","Fzinb"
"European Green Woodpecker","nonezip"
"European Greenfinch","nonezinb"
"European Pied Flycatcher","Fzip"
"European Robin","PCAzinb"
"European Serin","Rzinb"
"Fieldfare","PCAzinb"
"Firecrest","PCAzinb"
"Garden Warbler","nonezinb"
"Great Spotted Woodpecker","Fzinb"
"Great Tit","nonenb"
"Grey Wagtail","PCAzip"
"Hawfinch","nonezinb"
"House Sparrow","Fzinb"
"Icterine Warbler","PCAzip"
"Lesser Whitethroat","Fzinb"
"Long-tailed Tit","Fzip"
"Mallard","Fzip"
"Marsh Tit","Fzinb"
"Marsh Warbler","Fzip"
"Mistle Thrush","Fzip"
"Short-toed Treecreeper","PCAzinb"
"Song Thrush","PCAzinb"
"Spotted Flycatcher","Fzinb"
"Stock Dove","nonezinb"
"Tawny Owl","Fzip"
"Tree Pipit","nonenb"
"White Wagtail","nonezinb"
"Willow Tit","PCAzinb"
"Willow Warbler","Fzinb"
"Yellowhammer","nonezinb"
